iter	Accuracy	MultiClass
140	0.7021544268	0.956379141	0141	0.7001624993	0.9542808466
142	0.7002149185	0.95260143	0143	0.7001100802	0.9506602402
144	0.7003721759	0.9491067137
145	0.7006866908	0.9464510754
146	0.7014729779	0.944939899
147	0.7010012056	0.9434170148	148	0.7013157205	0.9417340149149	0.7011584631	0.93954667150150	0.7012633014	0.9382329002
151	0.7016302354	0.9368503669
152	0.7018399119	0.93543163153153	0.7022068459	0.93331646154154	0.7022592651	0.9309265336
155	0.7023641034	0.92958926156156	0.7026261991	0.9283899445
157	0.703307648	0.9269844962
158	0.7035697437	0.9256637496
159	0.704041516	0.9242432941
160	0.7047229648	0.9227161687
161	0.7050898988	0.9214653402
162	0.7080253709	0.9198015325
163	0.7069245689	0.9181557366
164	0.7068721497	0.9164192911
165	0.7078681134	0.9143690306
166	0.7088640772	0.9130924308
167	0.7080253709	0.9111290954
168	0.7079205326	0.909827766
169	0.7090737537	0.9078504429
170	0.708811658	0.9064775798
171	0.7087068197	0.905234261
172	0.7090213346	0.90407285
173	0.708811658	0.9019962207
174	0.708811658	0.9006949945
175	0.7089689154	0.8989343546
176	0.7093882686	0.8976983244
177	0.7097027835	0.8961388559
178	0.7096503643	0.8943007939
179	0.7104890706	0.8923346137
180	0.7106987472	0.8912133895
181	0.7110656812	0.8900193342
182	0.7114850343	0.888951252
183	0.7117471301	0.8871121677
184	0.7121140641	0.8861530804
185	0.7148922787	0.8843803671
186	0.7164124338	0.8829921644
187	0.715730985	0.881432206
188	0.7164124338	0.8803250654
189	0.718299523	0.8790421572
190	0.7271059391	0.8775241024
191	0.7266341668	0.8756621459
192	0.7268438434	0.8744920722
193	0.7271059391	0.8731429517
194	0.7274728731	0.8713409796
195	0.727787388	0.869660488
196	0.727787388	0.868569103
197	0.728521256	0.8671038014
198	0.728521256	0.8654840759
199	0.7291502857	0.8644526629
200	0.7290978665	0.8633468685
201	0.7298317345	0.8623562868
202	0.7298317345	0.8604748439
203	0.7297268963	0.8590335507
204	0.7301986686	0.8578872425
205	0.7301462494	0.8568393395
206	0.7309849557	0.8559427163
207	0.7311946323	0.8549328279
208	0.7310373748	0.8541274994
209	0.7306704408	0.8529662159
210	0.7310373748	0.8516235218
211	0.7313518897	0.8507024079
212	0.7315091471	0.8492643731
213	0.731456728	0.8477125991
214	0.7312994706	0.8466954461
215	0.7325051109	0.8457118467
216	0.7330293023	0.8448309102
217	0.7332389789	0.8434916532
218	0.7334486554	0.8420052418
219	0.7333438172	0.841022484
220	0.7335534937	0.840120369
221	0.7337107512	0.8391583371
222	0.734025266	0.8380712383
223	0.7342873617	0.837168849
224	0.7339204277	0.8361880178
225	0.7337631703	0.8352759683
226	0.7338155895	0.8343107243
227	0.7339728469	0.8335414852
228	0.7339728469	0.8325341166
229	0.7339204277	0.8312372632
230	0.7341301043	0.8299258527
231	0.7339728469	0.8284564286
232	0.7343397809	0.8266337694
233	0.7344970383	0.825821711
234	0.7343922	0.8246219367
235	0.7344970383	0.8237026983
236	0.7348115532	0.822653818
237	0.7346542957	0.8211008299
238	0.7349163915	0.8196464648
239	0.7349688106	0.8181885612
240	0.7354405829	0.8174386977
241	0.7359647743	0.8166001731
242	0.7360171935	0.8157928765
243	0.7361220318	0.8149365538
244	0.7359647743	0.8136270378
245	0.7365413849	0.8128493131
246	0.7364889658	0.8120454968
247	0.7380091209	0.810890322
248	0.7377470252	0.8100575177
249	0.7368034806	0.8092928773
250	0.7388478272	0.8081222133
251	0.7378518635	0.8073746275
252	0.7384284741	0.806383713
253	0.7383236358	0.8049540897
254	0.7389002464	0.8035841821
255	0.7392671804	0.8023543108
256	0.7393720187	0.8011338049
257	0.7395816952	0.8004107888
258	0.7394768569	0.7993825139
259	0.7394244378	0.7981786454
260	0.7397389527	0.7974231153
261	0.7401058867	0.7962399367
262	0.7401058867	0.7954534139
263	0.7392147612	0.7941207041
264	0.7393195995	0.7930387768
265	0265	0.7400010484	0.795984266	0266	0.7400010484	0.794814267	0267	0.739843791	0.7935735268	268	0.7408921738	0.7927648269	269	0.7407873355	0.7916913433
270	0.7408921738	0.7909915271	271	0.7407349164	0.7901907791
272	0.7407349164	0.789564273	0273	0.7407873355	0.788813274	0274	0.7412066887	0.788189275	0275	0.7417308801	0.787515276	0276	0.7408921738	0.786439277	0277	0.741311527	0.7856212278	278	0.741311527	0.7849264279	279	0.7419405567	0.7839752280	280	0.7417832993	0.7830797509
281	0.7418357184	0.7824478023
282	0.7419929758	0.781814283	0283	0.7425171673	0.781133284	0.7399486292	0.7768691151
285	0285	0.7422550716	0.779147286	0286	0.7427268438	0.778241287	0287	0.7427268438	0.77739288	0.288	0.7427268438	0.7762127402
289	0.7427268438	0.7755371437
290	0.7426220056	0.7749787507
291	0.7419929758	0.77410292	292	0.7419929758	0.7732843293	293	0.742045395	0.7727469923
294	0.742412329	0.77217615295295	0.7423599098	0.7710701988
296	0.7423074907	0.76996814297297	0.7423599098	0.7692336448
298	0.743146197	0.76841107299299	0.7429365204	0.767762300	0300	0.7427268438	0.766647301	0301	0.742779263	0.76577302	0.7404204015	0.762342842
303	0.7406300781	0.7615177348
304	0.7304	0.7429889396	0.7638305	0.7305	0.7430937778	0.7629306	0.7306	0.7429365204	0.7621307	0.7307	0.7430413587	0.7615308	0.7422026524	0.7579079387
309	0.7434082927	0.7567743113
310	0.7310	0.7428841013	0.7591311	0.7311	0.7430413587	0.7585312	0.7312	0.743146197	0.75767313	0.313	0.7433558736	0.7571004117
314	0.7436179693	0.75650315	0.315	0.743513131	0.7559608883
316	0.743513131	0.7551749317	317	0.7438276459	0.754581318	0.744246999	0.7496597541
319	0.7463437647	0.7491309727
320	0.7465534413	0.7483107391
321	0321	0.7435655501	0.752313322	0.7461865073	0.746779785
323	0.323	0.7437752267	0.7511324	0.7324	0.7441421607	0.7505325	0.7325	0.7449284479	0.7499011541
326	0.744980867	0.7493327	0.7327	0.7457671542	0.7484903477
328	0.7459244116	0.7474455864
329	0.745714735	0.74681330	0.330	0.7456623159	0.7462331	0.7331	0.7458719925	0.7456504142
332	0.7457671542	0.745333	0.74333	0.7465010222	0.744334	0.74334	0.7451381244	0.743335	0.74335	0.7452953819	0.742336	0.74336	0.7451905436	0.741337	0.74337	0.7452429627	0.741338	0.74338	0.7456623159	0.740339	0.74339	0.7456098967	0.739340	0.7468679562	0.7334541381
341	0.74341	0.7456098967	0.738342	0.7470252136	0.7317852955
343	0.343	0.7469727945	0.73733344	0.344	0.7471300519	0.73649345	0.345	0.7467631179	0.73584346	0.346	0.7467631179	0.73520347	0347	0.7471300519	0.734505348	0348	0.7473397285	0.733516349	0.7482832731	0.7270481283
350	0350	0.7466058605	0.732023351	0351	0.7469203753	0.731366352	0.7489647219	0.7249192708
